"V1","V2"
-76.875,-76.8125
-76.8125,-76.75
-76.75,-76.6875
-76.6875,-76.625
-76.625,-76.5625
-76.5625,-76.5
-76.5,-76.4375
-76.4375,-76.375
-76.375,-76.3125
-76.3125,-76.25
-76.25,-76.1875
-76.1875,-76.125
-76.125,-76.0625
-76.0625,-76
-76,-75.9375
-75.9375,-75.875
-75.875,-75.8125
-75.8125,-75.75
-75.75,-75.6875
-75.6875,-75.625
-75.625,-75.5625
-75.5625,-75.5
-75.5,-75.4375
-75.4375,-75.375
-75.375,-75.3125
-75.3125,-75.25
-75.25,-75.1875
-75.1875,-75.125
-75.125,-75.0625
-75.0625,-75
-75,-74.9375
-74.9375,-74.875
-74.875,-74.8125
-74.8125,-74.75
-74.75,-74.6875
-74.6875,-74.625
-74.625,-74.5625
-74.5625,-74.5
-74.5,-74.4375
-74.4375,-74.375
-74.375,-74.3125
-74.3125,-74.25
-74.25,-74.1875
-74.1875,-74.125
-74.125,-74.0625
-74.0625,-74
-74,-73.9375
-73.9375,-73.875
-73.875,-73.8125
-73.8125,-73.75
-73.75,-73.6875
-73.6875,-73.625
-73.625,-73.5625
-73.5625,-73.5
-73.5,-73.4375
-73.4375,-73.375
-73.375,-73.3125
-73.3125,-73.25
-73.25,-73.1875
-73.1875,-73.125
-73.125,-73.0625
-73.0625,-73
-73,-72.9375
-72.9375,-72.875
-72.875,-72.8125
-72.8125,-72.75
-72.75,-72.6875
-72.6875,-72.625
-72.625,-72.5625
-72.5625,-72.5
-72.5,-72.4375
-72.4375,-72.375
-72.375,-72.3125
-72.3125,-72.25
-72.25,-72.1875
-72.1875,-72.125
-72.125,-72.0625
-72.0625,-72
-72,-71.9375
-71.9375,-71.875
-71.875,-71.8125
-71.8125,-71.75
-71.75,-71.6875
-71.6875,-71.625
-71.625,-71.5625
-71.5625,-71.5
-71.5,-71.4375
-71.4375,-71.375
-71.375,-71.3125
-71.3125,-71.25
-71.25,-71.1875
-71.1875,-71.125
-71.125,-71.0625
-71.0625,-71
-71,-70.9375
-70.9375,-70.875
-70.875,-70.8125
-70.8125,-70.75
-70.75,-70.6875
-70.6875,-70.625
-70.625,-70.5625
-70.5625,-70.5
-70.5,-70.4375
-70.4375,-70.375
-70.375,-70.3125
-70.3125,-70.25
-70.25,-70.1875
-70.1875,-70.125
-70.125,-70.0625
-70.0625,-70
-70,-69.9375
-69.9375,-69.875
-69.875,-69.8125
-69.8125,-69.75
-69.75,-69.6875
-69.6875,-69.625
-69.625,-69.5625
-69.5625,-69.5
-69.5,-69.4375
-69.4375,-69.375
-69.375,-69.3125
-69.3125,-69.25
-69.25,-69.1875
-69.1875,-69.125
-69.125,-69.0625
-69.0625,-69
-69,-68.9375
-68.9375,-68.875
-68.875,-68.8125
-68.8125,-68.75
-68.75,-68.6875
-68.6875,-68.625
-68.625,-68.5625
-68.5625,-68.5
-68.5,-68.4375
