"fileName"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"REGCM4_GFDL_snv_2080to2089.nc"	"snv"	0	654.211304	654.211304	"10"	"0.1"
"REGCM4_GFDL_snv_2090to2099.nc"	"snv"	0	918.646118	918.646118	"10"	"0.1"
"REGCM4_GFDL_tas_1980to1989.nc"	"tas"	218.395599	317.7164	317.7164	"100"	"0.01"
"REGCM4_GFDL_tas_1990to1999.nc"	"tas"	224.563721	319.03241	319.03241	"100"	"0.01"
"REGCM4_GFDL_tas_2040to2049.nc"	"tas"	227.249359	320.383453	320.383453	"100"	"0.01"
"REGCM4_GFDL_tas_2050to2059.nc"	"tas"	229.138947	320.139343	320.139343	"100"	"0.01"
"REGCM4_GFDL_tas_2080to2089.nc"	"tas"	230.410095	322.432434	322.432434	"100"	"0.01"
"REGCM4_GFDL_tas_2090to2099.nc"	"tas"	228.644272	325.817291	325.817291	"100"	"0.01"
"REGCM4_GFDL_uas_1980to1989.nc"	"uas"	-33.307034	34.76231	34.76231	"100"	"0.01"
"REGCM4_GFDL_uas_1990to1999.nc"	"uas"	-32.082962	33.000427	33.000427	"100"	"0.01"
"REGCM4_GFDL_uas_2040to2049.nc"	"uas"	-31.931034	34.222321	34.222321	"100"	"0.01"
"REGCM4_GFDL_uas_2050to2059.nc"	"uas"	-32.655094	34.847046	34.847046	"100"	"0.01"
"REGCM4_GFDL_uas_2080to2089.nc"	"uas"	-33.754005	32.635353	32.635353	"1000"	"0.001"
"REGCM4_GFDL_uas_2090to2099.nc"	"uas"	-34.807606	39.086231	39.086231	"100"	"0.01"
"REGCM4_GFDL_vas_1980to1989.nc"	"vas"	-34.981667	36.419895	36.419895	"100"	"0.01"
"REGCM4_GFDL_vas_1990to1999.nc"	"vas"	-35.252125	32.84573	32.84573	"100"	"0.01"
"REGCM4_GFDL_vas_2040to2049.nc"	"vas"	-33.982964	33.985687	33.985687	"100"	"0.01"
"REGCM4_GFDL_vas_2050to2059.nc"	"vas"	-30.882963	33.627979	33.627979	"100"	"0.01"
"REGCM4_GFDL_vas_2080to2089.nc"	"vas"	-31.84071	35.358677	35.358677	"100"	"0.01"
"REGCM4_GFDL_vas_2090to2099.nc"	"vas"	-34.988098	33.807644	33.807644	"100"	"0.01"
