pr_day_I35prp1-QDM-A32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A32L01K00
pr_day_I35prp1-QDM-A32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A32P01K00
pr_day_I35prp1-QDM-A34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A34D01K00
pr_day_I35prp1-QDM-A34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A34L01K00
pr_day_I35prp1-QDM-A34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A34P01K00
pr_day_I35prp1-QDM-A38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A38D01K00
pr_day_I35prp1-QDM-A38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A38L01K00
pr_day_I35prp1-QDM-A38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A38P01K00
tasmax_day_I35txdetrp1-DeltaSD-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A12D01K00 rcp26 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp26 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A12L01K00 rcp26 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp26 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A12P01K00 rcp26 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp26 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A14D01K00 rcp45 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp45 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A14L01K00 rcp45 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp45 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A14P01K00 rcp45 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp45 r6i1p1 smoothed 31 days
